key,iata_code,name,city,country,latitude,longitude,altitude,timezone_offset,dst,timezone_name
NGUK,AAK,Aranuka Airport,Buariki,Kiribati,0.185278,173.636389,6,10,U,Pacific/Tarawa
NIUE,IUE,Niue International Airport,Alofi,Niue,-19.077778,-169.926667,209,-11,U,Pacific/Niue
NLWF,FUT,Pointe Vele Airport,Futuna Island,Wallis and Futuna,-14.311565,-178.06763,20,12,U,Pacific/Wallis
NLWW,WLS,Hihifo Airport,Wallis,Wallis and Futuna,-13.238333,-176.198889,79,12,U,Pacific/Wallis
NONE,TSS,East 34th Street Heliport,New York,United States,40.7425,-73.971944,10,-5,A,America/New_York
NSFA,APW,Faleolo International Airport,Faleolo,Samoa,-13.83045,-172.00811,58,-11,U,Pacific/Apia
NSFI,FGI,Fagali'i Airport,Apia,Samoa,-13.849237,-171.740072,25,-11,U,Pacific/Apia
NSFQ,FTI,Fitiuta Airport,Fiti'uta,American Samoa,-14.215418,-169.424322,110,-11,U,Pacific/Pago_Pago
NSMA,MXS,Maota Airport,Savaii Island,Samoa,-13.742456,-172.25799,0,-11,U,Pacific/Apia
NSTU,PPG,Pago Pago International Airport,Pago Pago,American Samoa,-14.331389,-170.711389,32,-11,U,Pacific/Pago_Pago
NTAA,PPT,Fa'a'ā International Airport,Papeete,French Polynesia,-17.556667,-149.611389,7,-10,U,Pacific/Tahiti
NTAM,RMT,Rimatara Airport,Rimatara,French Polynesia,-22.637248,-152.80575,56,-10,U,Pacific/Tahiti
NTAR,RUR,Rurutu Airport,Rurutu,French Polynesia,-22.433812,-151.360023,18,-10,U,Pacific/Tahiti
NTAT,TUB,Tubuai - Mataura Airport,Tubuai,French Polynesia,-23.363641,-149.522269,7,-10,U,Pacific/Tahiti
NTAV,RVV,Raivavae Airport,Raivavae,French Polynesia,-23.885242,-147.661933,25,-10,N,Pacific/Tahiti
NTGA,AAA,Anaa Airport,Anaa,French Polynesia,-17.352556,-145.509667,10,-10,U,Pacific/Tahiti
NTGC,TIH,Tikehau Airport,Tikehau,French Polynesia,-15.120314,-148.233083,6,-10,U,Pacific/Tahiti
NTGD,APK,Apataki Airport,Apataki,French Polynesia,-15.5726,-146.414,8,-10,U,Pacific/Tahiti
NTGE,REA,Reao Airport,Reao,French Polynesia,-18.5,-136.4,12,-10,U,Pacific/Tahiti
NTGF,FAV,Fakarava Airport,Fakarava,French Polynesia,-16.05435,-145.65749,13,-10,U,Pacific/Tahiti
NTGI,XMH,Manihi Airport,Manihi,French Polynesia,-14.436546,-146.070253,14,-10,U,Pacific/Tahiti
NTGJ,GMR,Totegegie Airport,Totegegie,French Polynesia,-23.080987,-134.889138,7,-9,U,Pacific/Gambier
NTGK,KKR,Kaukura Airport,Kaukura Atoll,French Polynesia,-15.666667,-146.886108,11,-10,U,Pacific/Tahiti
NTGM,MKP,Makemo Airport,Makemo,French Polynesia,-16.583855,-143.657978,3,-10,U,Pacific/Tahiti
NTGP,PKP,Port lotniczy Puka Puka,Puka Puka,French Polynesia,-14.81011,-138.81036,5,-10,U,Pacific/Tahiti
NTGT,TKP,Takapoto Airport,Takapoto,French Polynesia,-14.71,-145.247778,12,-10,U,Pacific/Tahiti
NTGU,AXR,Arutua Airport,Arutua,French Polynesia,-15.24639,-146.620278,9,-10,U,Pacific/Tahiti
NTGV,MVT,Mataiva Airport,Mataiva,French Polynesia,-14.872255,-148.713716,11,-10,U,Pacific/Tahiti
NTGY,ZTA,Tureia Airport,Tureia,French Polynesia,-20.779836,-138.568196,12,-10,N,Pacific/Tahiti
NTHE,AHE,Ahe Airport,,French Polynesia,-14.4275502,-146.25626,11,-10,U,Pacific/Tahiti
NTKN,NIU,Niau Airport,Niau,French Polynesia,-16.121988,-146.37325,49,-10,U,Pacific/Tahiti
NTKR,TKX,Takaroa Airport,Takaroa,French Polynesia,-14.455862,-145.024879,13,-10,U,Pacific/Tahiti
NTMD,NHV,Nuku Hiva Airport,Nuku Hiva,French Polynesia,-8.795152,-140.227984,220,-10,U,Pacific/Marquesas
NTMN,AUQ,Atuona Airport,Hiva-oa,French Polynesia,-9.769181,-139.01135,1481,-9.5,U,Pacific/Marquesas
NTMP,UAP,Aneou Airstrip,Ua Pou,French Polynesia,-9.347191,-140.079739,16,-9.5,U,Pacific/Marquesas
NTMU,UAH,Ua Huka Airport,Ua Huka,French Polynesia,-8.936289,-139.553953,160,-9.5,U,Pacific/Marquesas
NTTB,BOB,Bora Bora Airport,Bora Bora,French Polynesia,-16.443611,-151.7525,10,-10,U,Pacific/Tahiti
NTTG,RGI,Rangiroa Airport,Rangiroa,French Polynesia,-14.955278,-147.657778,10,-10,U,Pacific/Tahiti
NTTH,HUH,Huahine – Fare Airport,Huahine Island,French Polynesia,-16.687052,-151.021697,7,-10,U,Pacific/Tahiti
NTTM,MOZ,Moorea Airport,Moorea,French Polynesia,-17.489417,-149.762166,9,-10,U,Pacific/Tahiti
NTTO,HOI,Hao Airport,Hao Island,French Polynesia,-18.064793,-140.958233,10,-10,U,Pacific/Tahiti
NTTP,MAU,Maupiti Airport,Maupiti,French Polynesia,-16.426447,-152.242401,15,-10,U,Pacific/Tahiti
NTTR,RFP,Raiatea Airport,Raiatea Island,French Polynesia,-16.723056,-151.466944,3,-10,U,Pacific/Tahiti
NULL,MYF,Montgomery Field,San Diego,United States,32.4759,117.759,17,-8,A,Asia/Shanghai
NURN,NUR,Nuremberg Airport,Nurnberg,Germany,49.4943,11.07637,1200,2,E,Europe/Berlin
NVSA,MTV,Mota Lava Airport,Ablow,Vanuatu,-13.665837,167.711344,63,11,U,Pacific/Efate
NVSC,SLH,Vanua Lava Airport,Sola,Vanuatu,-13.851698,167.536958,7,11,U,Pacific/Efate
NVSD,TOH,Torres Airstrip,Loh/Linua,Vanuatu,-13.331702,166.649622,0,11,U,Pacific/Efate
NVSE,EAE,Siwo Airport,Sangafa,Vanuatu,-17.089167,168.341667,7,11,U,Pacific/Efate
NVSF,CCV,Craig Cove Airport,Craig Cove,Vanuatu,-16.265,167.924444,69,11,U,Pacific/Efate
NVSG,LOD,Longana Airport,Longana,Vanuatu,-15.305631,167.967968,167,11,U,Pacific/Efate
NVSH,SSR,Sara Airport,Pentecost Island,Vanuatu,-15.471549,168.152704,0,11,U,Pacific/Efate
NVSI,PBJ,Paama Airport,Paama Island,Vanuatu,-16.439,168.257,0,11,U,Pacific/Efate
NVSL,LPM,Malekoula Airport,Lamap,Vanuatu,-16.449996,167.817026,7,11,U,Pacific/Efate
NVSM,LNB,Lamen Bay Airport,Lamen Bay,Vanuatu,-16.58575,168.15965,7,11,U,Pacific/Efate
NVSN,MWF,Maewo-Naone Airport,Maewo Island,Vanuatu,-14.994444,168.079167,0,11,U,Pacific/Efate
NVSO,LNE,Lonorore Airport,Lonorore,Vanuatu,-15.860362,168.170046,43,11,U,Pacific/Efate
NVSP,NUS,Norsup Airport,Norsup,Vanuatu,-16.078663,167.400264,23,11,U,Pacific/Efate
NVSQ,ZGU,Gaua Airport,Gaua Island,Vanuatu,-14.219127,167.58798,0,11,U,Pacific/Efate
NVSR,RCL,Redcliffe Airport,Redcliffe,Vanuatu,-15.472,167.83501,36,11,U,Pacific/Efate
NVSS,SON,Santo-Pekoa International Airport,Santo,Vanuatu,-15.505412,167.219678,184,11,U,Pacific/Efate
NVST,TGH,Tongoa Airport,Tongoa Island,Vanuatu,-16.891007,168.551534,443,11,U,Pacific/Efate
NVSU,ULB,Ulei Airport,Ambryn Island,Vanuatu,-16.329694,168.300762,0,11,U,Pacific/Efate
NVSV,VLS,Valesdir Airfield,Valesdir,Vanuatu,-16.796492,168.177284,10,11,U,Pacific/Efate
NVSW,WLH,Walaha Airport,Walaha,Vanuatu,-15.416667,167.7,151,11,U,Pacific/Efate
NVSX,SWJ,South West Bay,Malekula Island,Vanuatu,-16.494932,167.44872,0,11,U,Pacific/Efate
NVSZ,OLZ,North West Santo Airport,Olpoi,Vanuatu,-14.8817,166.558,0,11,U,Pacific/Efate
NVVA,AUY,Aneityum Airport,Anelghowhat,Vanuatu,-20.249042,169.771056,7,11,U,Pacific/Efate
NVVB,AWD,Aniwa Airport,Aniwa,Vanuatu,-19.23444,169.60081,69,11,U,Pacific/Efate
NVVD,DLY,Dillon's Bay Airport,Dillon's Bay,Vanuatu,-18.769977,169.002514,538,11,U,Pacific/Efate
NVVF,FTA,Futuna Airport,Futuna Island,Vanuatu,-19.516304,170.232315,0,11,U,Pacific/Efate
NVVI,IPA,Ipota Airport,Ipota,Vanuatu,-18.856389,169.283333,23,11,U,Pacific/Efate
NVVV,VLI,Bauerfield International Airport,Port-vila,Vanuatu,-17.699998,168.319498,70,11,U,Pacific/Efate
NWWA,TGJ,Tiga Airport,Tiga,New Caledonia,-21.093491,167.803847,128,11,U,Pacific/Noumea
NWWC,BMY,Île Art - Waala Airport,Waala,New Caledonia,-19.720105,163.659875,306,11,U,Pacific/Noumea
NWWD,KNQ,Koné Airport,Kone,New Caledonia,-21.053664,164.83792,23,11,U,Pacific/Noumea
NWWE,ILP,Île des Pins Airport,,New Caledonia,-22.58766,167.451552,315,11,U,Pacific/Noumea
NWWK,KOC,Koumac Airport,Koumac,New Caledonia,-20.5446718,164.2582813,42,11,U,Pacific/Noumea
NWWL,LIF,Lifou Airport,Lifou,New Caledonia,-20.774813,167.239809,92,11,U,Pacific/Noumea
NWWM,GEA,Nouméa Magenta Airport,Noumea,New Caledonia,-22.259906,166.472937,10,11,U,Pacific/Noumea
NWWR,MEE,Maré Airport,Mare,New Caledonia,-21.484632,168.041574,141,11,U,Pacific/Noumea
NWWU,TOU,Touho Airport,Touho,New Caledonia,-20.790387,165.259208,10,11,U,Pacific/Noumea
NWWV,UVE,Ouvea Airport,Ouvea,New Caledonia,-20.640837,166.573025,23,11,U,Pacific/Noumea
NWWW,NOU,La Tontouta International Airport,Noumea,New Caledonia,-22.016967,166.216045,52,11,U,Pacific/Noumea
NZAA,AKL,Auckland International Airport,Auckland,New Zealand,-37.005602,174.782695,23,12,Z,Pacific/Auckland
NZAP,TUO,Taupo Airport,Taupo,New Zealand,-38.73988,176.083136,1335,12,Z,Pacific/Auckland
NZCH,CHC,Christchurch International Airport,Christchurch,New Zealand,-43.487751,172.539838,123,12,Z,Pacific/Auckland
NZCI,CHT,Chatham Islands / Tuuta Airport,Chatham Island,New Zealand,-43.81,-176.457222,43,13,Z,Pacific/Chatham
NZDN,DUD,Dunedin International Airport,Dunedin,New Zealand,-45.92429,170.2,4,12,Z,Pacific/Auckland
NZGB,GBZ,Great Barrier Island,Claris,New Zealand,-36.1429,175.2819,10,11,Z,Pacific/Auckland
NZGS,GIS,Gisborne Airport,Gisborne,New Zealand,-38.661934,177.98228,15,12,Z,Pacific/Auckland
NZGT,MON,Glentanner,Glentanner,New Zealand,-43.906666,170.128333,1824,12,Z,Pacific/Auckland
NZHK,HKK,Hokitika Airport,Hokitika,New Zealand,-42.714037,170.985039,146,12,Z,Pacific/Auckland
NZHN,HLZ,Hamilton International Airport,Hamilton,New Zealand,-37.865367,175.334855,172,12,Z,Pacific/Auckland
NZKI,KBZ,Kaikoura Airport,Kaikoura,New Zealand,-42.425,173.602222,19,12,Z,Pacific/Auckland
NZKK,KKE,Bay of Islands Airport,Kerikeri,New Zealand,-35.263332,173.912144,492,12,Z,Pacific/Auckland
NZKT,KAT,Kaitaia,Kaitaia,New Zealand,-35.07,173.285278,270,12,Z,Pacific/Auckland
NZLX,ALR,Alexandra Airport,Alexandra,New Zealand,-45.21389,169.36945,752,12,Z,Pacific/Auckland
NZMC,GTN,Mount Cook,Mount Cook,New Zealand,-43.764999,170.133333,2153,12,Z,Pacific/Auckland
NZMF,MFN,Milford Sound Airport,Milford Sound,New Zealand,-44.673164,167.924246,10,12,Z,Pacific/Auckland
NZMO,TEU,Manapouri Airport,Manapouri,New Zealand,-45.532324,167.642528,687,12,Z,Pacific/Auckland
NZMS,MRO,Hood Aerodrome,Masterton,New Zealand,-40.975,175.63333,364,12,Z,Pacific/Auckland
NZNP,NPL,New Plymouth Airport,New Plymouth,New Zealand,-39.009702,174.179032,97,12,Z,Pacific/Auckland
NZNR,NPE,Hawke's Bay Airport,NAPIER,New Zealand,-39.465355,176.872162,6,12,Z,Pacific/Auckland
NZNS,NSN,Nelson Airport,Nelson,New Zealand,-41.299976,173.22498,17,12,Z,Pacific/Auckland
NZNV,IVC,Europcar - Invercargill Airport,Invercargill,New Zealand,-46.415432,168.32175,5,12,Z,Pacific/Auckland
NZOU,OAM,Oamaru Airport,Oamaru,New Zealand,-44.97028,171.0819,99,12,Z,Pacific/Auckland
NZPM,PMR,Palmerston North Airport,Palmerston North,New Zealand,-40.323315,175.62125,151,12,Z,Pacific/Auckland
NZPN,PCN,Picton Aerodrome,Picton,New Zealand,-41.343033,173.958944,60,12,Z,Pacific/Auckland
NZPP,PPQ,Paraparaumu Airport,Paraparaumu,New Zealand,-40.900364,174.984564,22,12,Z,Pacific/Auckland
NZQN,ZQN,Queenstown Airport,Queenstown International,New Zealand,-45.022038,168.7391,1171,12,Z,Pacific/Auckland
NZRC,SZS,Ryans Creek Aerodrome,Stewart Island,New Zealand,-46.899722,168.101667,100,12,U,Pacific/Auckland
NZRO,ROT,Rotorua International Airport,Rotorua,New Zealand,-38.109353,176.317367,935,12,Z,Pacific/Auckland
NZTG,TRG,Tauranga Airport,Tauranga,New Zealand,-37.67093,176.19772,13,12,Z,Pacific/Auckland
NZTK,KTF,Takaka Airport,Takaka,New Zealand,-40.816927,172.775974,500,12,U,Pacific/Auckland
NZTU,TIU,Richard Pearse Airport,Timaru,New Zealand,-44.303448,171.22632,89,12,Z,Pacific/Auckland
NZWB,BHE,Marlborough Airport,Woodbourne,New Zealand,-41.513588,173.86765,109,12,Z,Pacific/Auckland
NZWF,WKA,Wanaka Airport,Wanaka,New Zealand,-44.72336,169.24425,1142,12,Z,Pacific/Auckland
NZWK,WHK,Whakatane Airport,Whakatane,New Zealand,-37.924511,176.917636,20,12,Z,Pacific/Auckland
NZWN,WLG,Wellington International Airport,Wellington,New Zealand,-41.329083,174.812136,41,12,Z,Pacific/Auckland
NZWR,WRE,Whangarei Airport,Whangarei,New Zealand,-35.76742,174.36403,133,12,Z,Pacific/Auckland
NZWS,WSZ,Westport Airport,Westport,New Zealand,-41.74002,171.57858,13,12,Z,Pacific/Auckland
NZWT,WTZ,Whitianga Airport,Whitianga,New Zealand,-36.831992,175.675046,500,12,U,Pacific/Auckland
NZWU,WAG,Wanganui Airport,Wanganui,New Zealand,-39.960922,175.02444,27,12,Z,Pacific/Auckland
