key,iata_code,name,city,country,latitude,longitude,altitude,timezone_offset,dst,timezone_name
VNJS,JMO,Jomsom Airport,Jomsom,Nepal,28.780675,83.722902,8800,5.75,N,Asia/Kathmandu
VNKT,KTM,Tribhuvan International Airport,Kathmandu,Nepal,27.697758,85.358328,4390,5.75,N,Asia/Kathmandu
VNLD,LDN,Lamidanda Airport,Lamidanda,Nepal,27.252693,86.672072,4100,5.75,N,Asia/Kathmandu
VNLK,LUA,Lukla Airport,Lukla,Nepal,27.687778,86.731389,9100,5.75,N,Asia/Kathmandu
VNMA,NGX,Manang Airport,Manang,Nepal,28.633333,84.0,11000,5.75,N,Asia/Kathmandu
VNMG,MEY,Meghauli Airport,Meghauli,Nepal,27.577276,84.228906,600,5.5,N,Asia/Kathmandu
VNNG,KEP,Nepalganj Airport,Nepalgunj,Nepal,28.102843,81.666775,540,5.5,N,Asia/Kathmandu
VNPK,PKR,Pokhara Airport,Pokhara,Nepal,28.200201,83.981361,2712,5.75,N,Asia/Kathmandu
VNPL,PPL,Phaplu Airport,Phaplu,Nepal,27.517694,86.584993,7918,5.75,N,Asia/Kathmandu
VNRC,RHP,Ramechhap Airport,Ramechhap,Nepal,27.333333,86.083333,1555,5.45,U,Asia/Kathmandu
VNRK,RUK,Rukumkot,Rukumkot,Nepal,28.627,82.195,2500,5.75,N,Asia/Kathmandu
VNRT,RUM,Rumjataar Airport,Rumjatar,Nepal,27.302469,86.550556,4500,5.75,N,Asia/Kathmandu
VNSB,SYH,Syangboche Airport,Syangboche,Nepal,27.810556,86.709444,12309,5.75,N,Asia/Kathmandu
VNSI,SIF,Simara Airport,Simara,Nepal,27.163563,84.979195,450,5.75,N,Asia/Kathmandu
VNSK,SKH,Surkhet Airport,Surkhet,Nepal,28.584815,81.635357,2400,5.75,N,Asia/Kathmandu
VNST,IMK,Simikot Airport,Simikot,Nepal,29.970367,81.81998,9246,5.75,N,Asia/Kathmandu
VNTJ,TPJ,Taplejung Airport,Taplejung,Nepal,27.35,84.666667,4000,5.75,N,Asia/Kathmandu
VNTR,TMI,Tumlingtar Airport,Tumling Tar,Nepal,27.315249,87.194004,1700,5.75,N,Asia/Kathmandu
VNVT,BIR,Biratnagar Airport,Biratnagar,Nepal,26.482195,87.263316,236,5.75,N,Asia/Kathmandu
VOAT,AGX,Agatti Aerodrome,Agatti Island,India,10.823776,72.175537,14,5.5,N,Asia/Kolkata
VOBI,BEP,Bellary Airport Terminal Building,Bellary,India,15.160571,76.886013,30,5.5,N,Asia/Kolkata
VOBL,BLR,HAL Airport,Bangalore,India,12.950862,77.664757,2912,5.5,N,Asia/Kolkata
VOBZ,VGA,Vijayawada Airport,Vijayawada,India,16.530594,80.796854,82,5.5,N,Asia/Kolkata
VOCB,CJB,Coimbatore Airport,Coimbatore,India,11.030552,77.039289,1324,5.5,N,Asia/Kolkata
VOCI,COK,Cochin International Airport,Kochi,India,10.151285,76.4022,8,5.5,N,Asia/Kolkata
VOCL,CCJ,Calicut International Airport,Calicut,India,11.136257,75.9546,342,5.5,N,Asia/Kolkata
VOCP,CDP,Kadapa Airport,Cuddapah,India,14.510177,78.773064,430,5.5,N,Asia/Kolkata
VOHY,HYD,AAI Land,Hyderabad,India,17.465958,78.46666,1742,5.5,N,Asia/Kolkata
VOMD,IXM,Madurai Airport,Madurai,India,9.838462,78.0896,459,5.5,N,Asia/Kolkata
VOML,IXE,New Terminal Aircraft Apron,Mangalore,India,12.949349,74.872205,337,5.5,N,Asia/Kolkata
VOMM,MAA,Anna International Airport,Madras,India,12.982337,80.162605,52,5.5,N,Asia/Kolkata
VOMY,MYQ,Mysore Airport,Mysore,India,12.23,76.655833,2349,5.5,U,Asia/Kolkata
VOPB,IXZ,Vir Savarkar Airport,Port Blair,India,11.641737,92.730034,14,5.5,N,Asia/Kolkata
VORY,RJA,Rajahmundry Airport,Rajahmundry,India,17.109491,81.818718,151,5.5,N,Asia/Kolkata
VOTP,TIR,Tirupati-Renigunta Airport,Tirupeti,India,13.633647,79.544046,350,5.5,N,Asia/Kolkata
VOTR,TRZ,Tiruchirapalli Airport,Tiruchirappalli,India,10.764244,78.715324,288,5.5,N,Asia/Kolkata
VOTV,TRV,Trivandrum Airport International Terminal,Trivandrum,India,8.476499,76.918835,15,5.5,N,Asia/Kolkata
VQPR,PBH,Paro,Thimphu,Bhutan,27.403333,89.425,7332,6,N,Asia/Thimphu
VRMG,GAN,Gan International Airport,,Maldives,-0.693184,73.155678,6,5,U,Indian/Maldives
VRMH,HAQ,Hanimaadhoo Airport,Haa Dhaalu Atoll,Maldives,6.745909,73.168193,4,5,U,Indian/Maldives
VRMK,KDO,Kadhdhoo Tower,Laamu Atoll,Maldives,1.859651,73.520017,4,5,U,Indian/Maldives
VRMM,MLE,Ibrahim Nasir International Airport,Male,Maldives,4.191823,73.529213,6,5,U,Indian/Maldives
VTBD,DMK,Don Muang Airport,Bangkok,Thailand,13.91366,100.59919,9,7,U,Asia/Bangkok
VTBO,TDX,Trat,Trat,Thailand,12.282569,102.325182,105,7,U,Asia/Bangkok
VTBS,BKK,Suvarnabhumi International Airport,Bangkok,Thailand,13.692298,100.750697,5,7,U,Asia/Bangkok
VTBU,UTP,U-Tapao International Airport,Pattaya,Thailand,12.675855,100.998337,42,7,U,Asia/Bangkok
VTCC,CNX,Chiang Mai International Airport,Chiang Mai,Thailand,18.768654,98.966134,1036,7,U,Asia/Bangkok
VTCH,HGN,Mae Hong Son Airport,Mae Hong Son,Thailand,19.300164,97.975392,929,7,U,Asia/Bangkok
VTCI,PYY,Pai Airport,Pai,Thailand,19.36855,98.43528,1271,7,U,Asia/Bangkok
VTCL,LPT,Lampang Airport,Lampang,Thailand,18.278468,99.505767,811,7,U,Asia/Bangkok
VTCN,NNT,Nan Airport,Nan,Thailand,18.798819,100.781019,685,7,U,Asia/Bangkok
VTCP,PRH,Phrae Airport,Phrae,Thailand,18.13139,100.165276,538,7,U,Asia/Bangkok
VTCT,CEI,Chiang Rai International Airport,Chiang Rai,Thailand,19.954882,99.879061,1280,7,U,Asia/Bangkok
VTPB,PHY,Phetchabun Airport,Phetchabun,Thailand,16.672825,101.195136,450,7,U,Asia/Bangkok
VTPH,HHQ,Hua Hin Airport,Prachuap Khiri Khan,Thailand,12.627734,99.954193,62,7,U,Asia/Bangkok
VTPM,MAQ,Mae Sot Airport,Tak,Thailand,16.699722,98.54528,690,7,U,Asia/Bangkok
VTPO,THS,Sukhothai Airport,Sukhothai,Thailand,17.232341,99.82013,179,7,U,Asia/Bangkok
VTPP,PHS,Phitsanulok Airport,Phitsanulok,Thailand,16.771769,100.281924,154,7,U,Asia/Bangkok
VTSB,URT,Surat Thani International Airport,Surat Thani,Thailand,9.134858,99.1422,286,7,U,Asia/Bangkok
VTSC,NAW,Narathiwat Airport,Narathiwat,Thailand,6.527546,101.750214,16,7,U,Asia/Bangkok
VTSE,CJM,Chumphon Airport,Chumphon,Thailand,10.714806,99.35874,18,7,U,Asia/Bangkok
VTSF,NST,Nakhon Si Thammarat Airport,Nakhon Si Thammarat,Thailand,8.539098,99.942168,13,7,U,Asia/Bangkok
VTSG,KBV,Flughafen Krabi,Krabi,Thailand,8.097004,98.978312,93,7,U,Asia/Bangkok
VTSK,PAN,Pattani Airport,Pattani,Thailand,6.785571,101.148826,8,7,U,Asia/Bangkok
VTSM,USM,Samui International Airport,Ko Samui,Thailand,9.547618,100.06307,64,7,U,Asia/Bangkok
VTSP,HKT,Phuket International Airport,Phuket,Thailand,8.107686,98.306554,82,7,U,Asia/Bangkok
VTSS,HDY,Hat Yai International Airport,Songkhla,Thailand,6.936715,100.394547,90,7,U,Asia/Bangkok
VTST,TST,Trang Airport,Trang,Thailand,7.513138,99.629392,67,7,U,Asia/Bangkok
