key,iata_code,name,city,country,latitude,longitude,altitude,timezone_offset,dst,timezone_name
OERY,XXN,Riyadh Air Base,Riyadh,Saudi Arabia,24.70772,46.718113,2052,3,U,Asia/Riyadh
EDBT,,Allstedt Airport,Allstedt,Germany,51.384600,11.452000,932,2,E,Europe/Berlin
