iata,icao,name
,VMR,Aero Vilamoura,
,VLS,Aero Virel,
,AOV,Aero Vision,
,AOD,Aero Vodochody,
,MYS,Aero Yaqui Mayo,
,RZL,Aero Zambia,
,RZN,Aero Zano,
,ABA,Aero-Beta,
DW,UCR,Aero-Charter Ukraine,
,MSV,Aero-Kamov,
,EAP,Aero-Pyrenees,
,REN,Aero-Rent,
,REY,Aero-Rey,
BF,RSR,Aero-Service,
HC,ATI,Aero-Tropics Air Services,
,AJH,Aeroaljarafe,
,AQA,Aeroatlas,
,OBA,Aerobanana,
,BOC,Aerobona,
,BRP,AeroBratsk,
,CDA,Aerocardal,
,AOB,Aerocaribe Coro,
,ACR,Aerocenter,
,RCE,Aerocer,
,ERC,Aerocharter,
,MRM,Aerocharter,
,CYE,Aerocheyenne,
,AHP,Aerochiapas,
,BSO,Aeroclub Barcelona-Sabadell,
,NVA,Aeroclub de Albacete,
,LUE,Aeroclub de Alicante,
,MLL,Aeroclub de Mallorca,
,AVX,Aeroclub de Vitoria,
,AEK,Aerocon,
2B,ARD,Aerocondor,
,ORP,Aerocorp,
,RCP,Aerocorp,
,CTD,Aerocorporativos,
,AZM,Aerocozumel,
,RRO,Aerocredo,
,CUO,Aerocuahonte,
,ROD,Aerodan,
,FII,Aerodata Flight Inspection,
,DNA,Aerodespachos de El Salvador,
,ADN,Aerodienst GmbH,
,DIN,Aerodin,
,DMC,Aerodinamica de Monterrey,
,ADP,Aerodiplomatic,
,MAM,Aeródromo De La Mancha,
,DNJ,Aerodynamics,
,DNC,Aerodynamics Málaga,
,ADY,Aerodyne,
,AQZ,Aerodyne Charter,
,NIE,Aeroejecutiva Nieto,
,AJS,Aeroejecutivos Colombia,
,ROL,Aeroel Airways,
VB,VIV,Aeroenlaces Nacionales,
,ROE,Aeroeste,
,CFF,Aerofan,
,FAQ,Aerofaq,
,FEO,Aeroferinco,
SU,AFL,Aeroflot Russian Airlines,
,RCF,Aeroflot-Cargo,
,PLS,Aeroflot-Plus,
,FNO,Aeroflota Del Noroeste,
,FRT,Aerofreight Airlines,
,FCO,Aerofrisco,
2K,GLG,Aerogal,
,GAU,Aerogaucho,
,OGI,Aerogisa,
,RWY,Aerogroup 98 Limited,
,HEI,Aerohein,
,JAD,Aerojal,
,ARJ,Aerojet de Costa Rica,
,JOB,Aerojobeni,
,KLZ,Aerokaluz,
,NKZ,Aerokuzbass,
,LGN,Aerolaguna,
XL,LNE,Aerolane,
,LMA,Aerolima,
,LIN,Aerolimousine,
,ANQ,Aerolínea de Antioquia,
,MUR,Aerolínea Muri,
,PCP,Aerolínea Principal Chile,
,LDG,Aerolíneas Aéreas Ejecutivas De Durango,
,MNE,Aerolíneas Amanecer,
AR,ARG,Aerolíneas Argentinas,
,BNZ,Aerolíneas Bonanza,
,CTR,Aerolíneas Centauro,
,ALT,Aerolíneas Centrales,
,PFI,Aerolíneas Chihuahua,
,ECM,Aerolíneas Comerciales,
,DMJ,Aerolíneas Damojh,
,MOR,Aerolíneas De Morelia,
,HUC,Aerolíneas de Techuacán,
,AST,Aerolíneas Del Oeste,
,RPC,Aerolíneas Del Pacífico,
,SUE,Aerolíneas Del Sureste,
,LET,Aerolíneas Ejecutivas,
,ESU,Aerolíneas Ejecutivas Del Sureste,
,RSC,Aerolíneas Ejecutivas Tarascas,
,AHL,Aerolíneas Hidalgo,
,LNT,Aerolíneas Internacionales,
,MCO,Aerolíneas Marcos,
,MSO,Aerolíneas Mesoamericanas,
,LMX,Aerolíneas Mexicanas J S,
,OLV,Aerolíneas Olve,
,APP,Aerolíneas Pacífico Atlántico,
,APR,Aerolíneas Primordiales,
,RCQ,Aerolíneas Regionales,
,SOD,Aerolíneas Sol,
,NSO,Aerolíneas Sosa,
,TTB,Aerolíneas Turísticas del Caribe,
,AUY,Aerolíneas Uruguayas,
,VLR,Aerolíneas Villaverde,
5D,SLI,Aerolitoral,
3S,BOX,Aerologic,
,LDL,Aerologic,
,ERM,Aeromaan,
,MGS,Aeromagar,
VW,TAO,Aeromar,
,MSM,Aeromas,
,AXP,Aeromax,
,DIC,Aeromedica,
,AMQ,Aeromedicare,
,OMG,Aeromega,
,ARS,Aeromet Servicios,
,AXH,Aeromexhaga,
AM,AMX,Aeroméxico,
QO,MPX,Aeromexpress,
,MNI,Aeromilenio,
,MRL,Aeromorelos,
,OVE,Aeromover,
,MUN,Aeromundo Ejecutivo,
,AXI,Aeron International Airlines,
,VSC,Aeronautic de Los Pirineos,
,GGL,Aeronáutica,
,ECL,Aeronáutica Castellana,
,ESZ,Aeronáutica La Esperanza,
,EVR,Aeronautical Academy of Europe,
,XAA,Aeronautical Radio,
,AGA,Aeronaves Del Centro,
,DRO,Aeronaves Del Noreste,
,ENW,Aeronaves Del Noroeste,
,VTM,Aeronaves TSM,
,KTN,Aeronavigaciya,
,RNM,Aeronem Air Cargo,
,NID,Aeroni,
,GCF,Aeronor,
,NRP,Aeronord-Grup,
,RTE,Aeronorte,
,STK,Aeropac,
OT,PEL,Aeropelican Air Services,
,AOP,Aeropiloto,
VH,ALV,Aeropostal Alas de Venezuela,
,PCG,Aeropostal Cargo de Mexico,
,APO,Aeropro,
,MOP,Aeropublicitaria De Angola,
,PUE,Aeropuelche,
,APU,Aeropuma,
,PUT,Aeroput,
,AMM,Aeroputul International Marculesti,
,PYC,Aeropycsa,
P5,RPB,AeroRepública,
,FST,Aeros Limited,
,SBH,Aerosaab,
,FIC,Aerosafin,
,OSN,Aerosan,
,ERK,Aerosec,
,SGV,Aerosegovia,
,RBJ,Aeroserivios Del Bajio,
,CJE,Aeroservices Corporate,
,PSE,Aeroservicio Sipse,
,PIF,Aeroservicios California Pacifico,
,PSL,Aeroservicios Corporativos De San Luis,
,TAA,Aeroservicios de La Costa,
,NUL,Aeroservicios De Nuevo Leon,
,SUO,Aeroservicios De San Luis,
,DMI,Aeroservicios Dinamicos,
